timestamp,hour,weekday,is_weekend,month,season_dry,season_rainy,season_harmattan,temperature,is_rain_day,holiday_type_national,holiday_type_religious,is_lockdown,load_kw
01-01-2020 00:00,0,2,0,1,FALSE,FALSE,TRUE,25.2,0,1,0,0,36521.78538
01-01-2020 01:00,1,2,0,1,FALSE,FALSE,TRUE,25.2,0,1,0,0,34934.33925
01-01-2020 02:00,2,2,0,1,FALSE,FALSE,TRUE,25.2,0,1,0,0,36899.22135
01-01-2020 03:00,3,2,0,1,FALSE,FALSE,TRUE,25.2,0,1,0,0,39087.57464
01-01-2020 04:00,4,2,0,1,FALSE,FALSE,TRUE,25.2,0,1,0,0,34694.61656
01-01-2020 05:00,5,2,0,1,FALSE,FALSE,TRUE,25.2,0,1,0,0,34694.65761
01-01-2020 06:00,6,2,0,1,FALSE,FALSE,TRUE,36.4,0,1,0,0,58008.03204
01-01-2020 07:00,7,2,0,1,FALSE,FALSE,TRUE,36.4,0,1,0,0,55978.58682
01-01-2020 08:00,8,2,0,1,FALSE,FALSE,TRUE,36.4,0,1,0,0,52886.31404
01-01-2020 09:00,9,2,0,1,FALSE,FALSE,TRUE,36.4,0,1,0,0,55416.40011
01-01-2020 10:00,10,2,0,1,FALSE,FALSE,TRUE,36.4,0,1,0,0,52901.45577
01-01-2020 11:00,11,2,0,1,FALSE,FALSE,TRUE,36.4,0,1,0,0,52895.67562
01-01-2020 12:00,12,2,0,1,FALSE,FALSE,TRUE,36.4,0,1,0,0,70564.90568
01-01-2020 13:00,13,2,0,1,FALSE,FALSE,TRUE,36.4,0,1,0,0,65176.79939
01-01-2020 14:00,14,2,0,1,FALSE,FALSE,TRUE,36.4,0,1,0,0,65647.70542
01-01-2020 15:00,15,2,0,1,FALSE,FALSE,TRUE,36.4,0,1,0,0,68554.28118
01-01-2020 16:00,16,2,0,1,FALSE,FALSE,TRUE,36.4,0,1,0,0,67427.9222
01-01-2020 17:00,17,2,0,1,FALSE,FALSE,TRUE,36.4,0,1,0,0,70745.61833
